index,Country,Status,Life expectancy ,Label
0,Afghanistan,Developing,65.0,normal
1,Afghanistan,Developing,59.9,normal
2,Afghanistan,Developing,59.9,normal
3,Afghanistan,Developing,59.5,normal
4,Afghanistan,Developing,59.2,normal
5,Afghanistan,Developing,58.8,normal
6,Afghanistan,Developing,58.6,normal
7,Afghanistan,Developing,58.1,short
8,Afghanistan,Developing,57.5,short
9,Afghanistan,Developing,57.3,short
10,Afghanistan,Developing,57.3,short
11,Afghanistan,Developing,57.0,short
12,Afghanistan,Developing,56.7,short
13,Afghanistan,Developing,56.2,short
14,Afghanistan,Developing,55.3,short
15,Afghanistan,Developing,54.8,short
16,Albania,Developing,77.8,long
17,Albania,Developing,77.5,long
18,Albania,Developing,77.2,long
19,Albania,Developing,76.9,long
20,Albania,Developing,76.6,long
21,Albania,Developing,76.2,long
22,Albania,Developing,76.1,long
23,Albania,Developing,75.3,normal
24,Albania,Developing,75.9,long
25,Albania,Developing,74.2,normal
26,Albania,Developing,73.5,normal
27,Albania,Developing,73.0,normal
28,Albania,Developing,72.8,normal
29,Albania,Developing,73.3,normal
30,Albania,Developing,73.6,normal
31,Albania,Developing,72.6,normal
32,Algeria,Developing,75.6,normal
33,Algeria,Developing,75.4,normal
34,Algeria,Developing,75.3,normal
35,Algeria,Developing,75.1,normal
36,Algeria,Developing,74.9,normal
37,Algeria,Developing,74.7,normal
38,Algeria,Developing,74.4,normal
39,Algeria,Developing,74.1,normal
40,Algeria,Developing,73.8,normal
41,Algeria,Developing,73.4,normal
42,Algeria,Developing,72.9,normal
43,Algeria,Developing,72.3,normal
44,Algeria,Developing,71.7,normal
45,Algeria,Developing,71.6,normal
46,Algeria,Developing,71.4,normal
47,Algeria,Developing,71.3,normal
48,Angola,Developing,52.4,short
49,Angola,Developing,51.7,short
50,Angola,Developing,51.1,short
51,Angola,Developing,56.0,short
52,Angola,Developing,51.0,short
53,Angola,Developing,49.6,short
54,Angola,Developing,49.1,short
55,Angola,Developing,48.7,short
56,Angola,Developing,48.2,short
57,Angola,Developing,47.7,short
58,Angola,Developing,47.4,short
59,Angola,Developing,47.1,short
60,Angola,Developing,46.8,short
61,Angola,Developing,46.5,short
62,Angola,Developing,45.7,short
63,Angola,Developing,45.3,short
64,Antigua and Barbuda,Developing,76.4,long
65,Antigua and Barbuda,Developing,76.2,long
66,Antigua and Barbuda,Developing,76.1,long
67,Antigua and Barbuda,Developing,75.9,long
68,Antigua and Barbuda,Developing,75.7,normal
69,Antigua and Barbuda,Developing,75.6,normal
70,Antigua and Barbuda,Developing,75.4,normal
71,Antigua and Barbuda,Developing,75.2,normal
72,Antigua and Barbuda,Developing,75.0,normal
73,Antigua and Barbuda,Developing,74.8,normal
74,Antigua and Barbuda,Developing,74.6,normal
75,Antigua and Barbuda,Developing,74.4,normal
76,Antigua and Barbuda,Developing,74.2,normal
77,Antigua and Barbuda,Developing,74.0,normal
78,Antigua and Barbuda,Developing,73.8,normal
79,Antigua and Barbuda,Developing,73.6,normal
80,Argentina,Developing,76.3,long
81,Argentina,Developing,76.2,long
82,Argentina,Developing,76.0,long
83,Argentina,Developing,75.9,long
84,Argentina,Developing,75.7,normal
85,Argentina,Developing,75.5,normal
86,Argentina,Developing,75.6,normal
87,Argentina,Developing,75.4,normal
88,Argentina,Developing,74.8,normal
89,Argentina,Developing,75.2,normal
90,Argentina,Developing,74.9,normal
91,Argentina,Developing,74.7,normal
92,Argentina,Developing,74.1,normal
93,Argentina,Developing,74.1,normal
94,Argentina,Developing,74.0,normal
95,Argentina,Developing,74.1,normal
96,Armenia,Developing,74.8,normal
97,Armenia,Developing,74.6,normal
98,Armenia,Developing,74.4,normal
99,Armenia,Developing,74.4,normal
100,Armenia,Developing,73.9,normal
101,Armenia,Developing,73.5,normal
102,Armenia,Developing,73.3,normal
103,Armenia,Developing,73.2,normal
104,Armenia,Developing,73.5,normal
105,Armenia,Developing,72.9,normal
106,Armenia,Developing,73.0,normal
107,Armenia,Developing,73.0,normal
108,Armenia,Developing,72.7,normal
109,Armenia,Developing,72.6,normal
110,Armenia,Developing,72.6,normal
111,Armenia,Developing,72.0,normal
112,Australia,Developed,82.8,long
113,Australia,Developed,82.7,long
114,Australia,Developed,82.5,long
115,Australia,Developed,82.3,normal
116,Australia,Developed,82.0,normal
117,Australia,Developed,81.9,normal
118,Australia,Developed,81.7,normal
119,Australia,Developed,81.3,normal
120,Australia,Developed,81.3,normal
121,Australia,Developed,81.2,normal
122,Australia,Developed,81.0,normal
123,Australia,Developed,86.0,long
124,Australia,Developed,83.0,long
125,Australia,Developed,79.9,normal
126,Australia,Developed,79.9,normal
127,Australia,Developed,79.5,normal
128,Austria,Developed,81.5,normal
129,Austria,Developed,81.4,normal
130,Austria,Developed,81.1,normal
131,Austria,Developed,88.0,long
132,Austria,Developed,88.0,long
133,Austria,Developed,84.0,long
134,Austria,Developed,82.0,normal
135,Austria,Developed,84.0,long
136,Austria,Developed,81.0,normal
137,Austria,Developed,79.8,normal
138,Austria,Developed,79.4,normal
139,Austria,Developed,79.3,normal
140,Austria,Developed,78.8,normal
141,Austria,Developed,78.7,normal
142,Austria,Developed,78.6,normal
143,Austria,Developed,78.1,normal
144,Azerbaijan,Developing,72.7,normal
145,Azerbaijan,Developing,72.5,normal
146,Azerbaijan,Developing,72.2,normal
147,Azerbaijan,Developing,71.9,normal
148,Azerbaijan,Developing,71.6,normal
149,Azerbaijan,Developing,71.1,normal
150,Azerbaijan,Developing,78.0,long
151,Azerbaijan,Developing,73.0,normal
152,Azerbaijan,Developing,73.0,normal
153,Azerbaijan,Developing,69.2,normal
154,Azerbaijan,Developing,68.4,normal
155,Azerbaijan,Developing,68.4,normal
156,Azerbaijan,Developing,67.8,normal
157,Azerbaijan,Developing,67.8,normal
158,Azerbaijan,Developing,67.5,normal
159,Azerbaijan,Developing,66.6,normal
160,Bahamas,Developing,76.1,long
161,Bahamas,Developing,75.4,normal
162,Bahamas,Developing,74.8,normal
163,Bahamas,Developing,74.9,normal
164,Bahamas,Developing,75.0,normal
165,Bahamas,Developing,75.0,normal
166,Bahamas,Developing,74.6,normal
167,Bahamas,Developing,74.5,normal
168,Bahamas,Developing,74.4,normal
169,Bahamas,Developing,74.2,normal
170,Bahamas,Developing,74.1,normal
171,Bahamas,Developing,73.8,normal
172,Bahamas,Developing,73.2,normal
173,Bahamas,Developing,73.1,normal
174,Bahamas,Developing,72.9,normal
175,Bahamas,Developing,72.6,normal
176,Bahrain,Developing,76.9,long
177,Bahrain,Developing,76.8,long
178,Bahrain,Developing,76.7,long
179,Bahrain,Developing,76.5,long
180,Bahrain,Developing,76.1,long
181,Bahrain,Developing,76.1,long
182,Bahrain,Developing,76.0,long
183,Bahrain,Developing,75.8,long
184,Bahrain,Developing,75.6,normal
185,Bahrain,Developing,75.5,normal
186,Bahrain,Developing,75.3,normal
187,Bahrain,Developing,75.2,normal
188,Bahrain,Developing,75.0,normal
189,Bahrain,Developing,74.9,normal
190,Bahrain,Developing,74.7,normal
191,Bahrain,Developing,74.5,normal
192,Bangladesh,Developing,71.8,normal
193,Bangladesh,Developing,71.4,normal
194,Bangladesh,Developing,71.0,normal
195,Bangladesh,Developing,77.0,long
196,Bangladesh,Developing,73.0,normal
197,Bangladesh,Developing,69.9,normal
198,Bangladesh,Developing,69.5,normal
199,Bangladesh,Developing,69.1,normal
200,Bangladesh,Developing,68.6,normal
201,Bangladesh,Developing,68.2,normal
202,Bangladesh,Developing,67.8,normal
203,Bangladesh,Developing,67.3,normal
204,Bangladesh,Developing,66.8,normal
205,Bangladesh,Developing,66.3,normal
206,Bangladesh,Developing,65.8,normal
207,Bangladesh,Developing,65.3,normal
208,Barbados,Developing,75.5,normal
209,Barbados,Developing,75.4,normal
210,Barbados,Developing,75.2,normal
211,Barbados,Developing,75.1,normal
212,Barbados,Developing,74.9,normal
213,Barbados,Developing,74.7,normal
214,Barbados,Developing,74.6,normal
215,Barbados,Developing,74.4,normal
216,Barbados,Developing,74.2,normal
217,Barbados,Developing,74.1,normal
218,Barbados,Developing,73.9,normal
219,Barbados,Developing,73.8,normal
220,Barbados,Developing,73.7,normal
221,Barbados,Developing,73.5,normal
222,Barbados,Developing,73.4,normal
223,Barbados,Developing,73.3,normal
224,Belarus,Developing,72.3,normal
225,Belarus,Developing,72.0,normal
226,Belarus,Developing,71.7,normal
227,Belarus,Developing,71.9,normal
228,Belarus,Developing,72.0,normal
229,Belarus,Developing,73.0,normal
230,Belarus,Developing,70.0,normal
231,Belarus,Developing,70.0,normal
232,Belarus,Developing,69.8,normal
233,Belarus,Developing,68.9,normal
234,Belarus,Developing,68.1,normal
235,Belarus,Developing,68.2,normal
236,Belarus,Developing,67.7,normal
237,Belarus,Developing,67.2,normal
238,Belarus,Developing,67.7,normal
239,Belarus,Developing,68.0,normal
240,Belgium,Developed,81.1,normal
241,Belgium,Developed,89.0,long
242,Belgium,Developed,87.0,long
243,Belgium,Developed,83.0,long
244,Belgium,Developed,83.0,long
245,Belgium,Developed,80.0,normal
246,Belgium,Developed,79.8,normal
247,Belgium,Developed,79.5,normal
248,Belgium,Developed,79.5,normal
249,Belgium,Developed,79.4,normal
250,Belgium,Developed,78.9,normal
251,Belgium,Developed,78.8,normal
252,Belgium,Developed,78.3,normal
253,Belgium,Developed,78.0,normal
254,Belgium,Developed,78.0,normal
255,Belgium,Developed,77.6,normal
256,Belize,Developing,71.0,normal
257,Belize,Developing,70.0,normal
258,Belize,Developing,69.8,normal
259,Belize,Developing,69.4,normal
260,Belize,Developing,69.4,normal
261,Belize,Developing,69.5,normal
262,Belize,Developing,69.5,normal
263,Belize,Developing,69.6,normal
264,Belize,Developing,69.6,normal
265,Belize,Developing,69.4,normal
266,Belize,Developing,69.0,normal
267,Belize,Developing,68.7,normal
268,Belize,Developing,68.4,normal
269,Belize,Developing,68.5,normal
270,Belize,Developing,68.2,normal
271,Belize,Developing,68.3,normal
272,Benin,Developing,60.0,normal
273,Benin,Developing,59.7,normal
274,Benin,Developing,59.5,normal
